med,frequency
Lipitor,2452
aspirin,1918
ASA,1438
lisinopril,1207
Plavix,1172
Lisinopril,1100
atenolol,1068
Atenolol,966
Aspirin,877
Norvasc,855
insulin,837
Lopressor,758
Glucophage,700
Metformin,676
metformin,666
Zocor,571
glyburide,531
Asa,511
ATENOLOL,494
Simvastatin,482
Zestril,466
Glyburide,447
Metoprolol,439
simvastatin,412
Cozaar,404
HCTZ,393
LISINOPRIL,389
metoprolol,380
Toprol,373
NPH,366
Lantus,352
nitroglycerin,335
hydrochlorothiazide,324
Avandia,307
Insulin,288
lipitor,283
Glipizide,269
Hydrochlorothiazide,260
Ecotrin,233
Pravachol,232
Toprol XL,214
Isordil,199
Lipitor ,198
lopressor,196
METFORMIN,186
Amlodipine,184
glipizide,183
atorvastatin,181
ECASA,173
Diovan,171
Avapro,169
Imdur,168
amlodipine,166
ASPIRIN,166
Zetia,165
Humulin,160
Lisinopril ,157
LIPITOR,156
Nifedipine,155
plavix,154
glucophage,148
GLYBURIDE,145
Lopid,141
Hctz,139
Captopril,136
Labetalol,135
Atorvastatin,133
Nitroglycerin,133
Glucotrol,131
nifedipine,131
diltiazem,128
Atenolol ,123
Ecasa,123
Novolog,121
aspirin ,119
ASA ,117
Plavix ,115
captopril,114
Procardia,114
lisinopril ,114
labetalol,114
Toprol-XL,113
Humalog,113
verapamil,113
Micronase,112
Verapamil,108
Cardizem,106
Losartan,103
norvasc,102
atenolol ,99
NTG,92
Actos,92
Pravastatin,91
losartan,90
Clopidogrel,86
 insulin,85
Diltiazem,84
Tricor,83
statin,82
Toprol XL ,82
Coreg,81
NPH insulin,80
Enalapril,78
isosorbide,78
HYDROCHLOROTHIAZIDE,75
ZESTRIL,73
SIMVASTATIN,73
Dyazide,72
lovastatin,69
ATORVASTATIN,69
asa,65
Lopressor ,65
TNG,64
pravastatin,64
NITROGLYCERIN,64
NORVASC,63
GLUCOPHAGE,63
Zestril ,61
Cozaar ,61
Norvasc ,60
lantus,60
Metoprolol ,59
clopidogrel,58
 lisinopril,58
Vasotec,58
Isosorbide,58
toprol,58
Crestor,58
metoprolol ,55
AMLODIPINE,55
Altace,55
Glucovance,54
Aspirin ,52
Mevacor,51
Acetylsalicylic Acid,51
HCTZ ,50
Metformin ,49
hctz,48
Gemfibrozil,48
Zocor ,48
ZOCOR,45
Toprol ,45
LOPRESSOR,45
Carvedilol,45
Lescol,44
BB,43
METOPROLOL,43
 lisinopril ,43
Lipitor (ATORVASTATIN),43
enalapril,42
Insulin Nph Human,42
gemfibrozil,41
Glyburide ,40
pravachol,40
zocor,40
zestril,40
isosorbide mononitrate,40
ATENOLOL ,39
Pioglitazone,39
carvedilol,39
INSULIN,39
Asa ,39
fosinopril,39
regular insulin,38
isordil,38
Atacand,38
PRAVASTATIN,38
Ntg,37
Labetolol,37
ramipril,36
Niaspan,36
cozaar,36
procardia,35
 aspirin,34
Metroprolol,34
NovoLog,33
Insulin ,33
Simvastatin ,33
Prinivil,33
novolog,33
Glynase,33
Inderal,32
nitroglycerine,31
nitro,31
sotalol,31
ecasa,30
CZI,30
Irbesartan,30
Glimepiride,30
GLIPIZIDE,30
metformin ,30
Toprol Xl,30
Sotalol,30
insulin pump,30
LISINOPRIL ,28
CLOPIDOGREL,28
METFORMIN ,28
PLAVIX,27
insulin NPH,27
enteric coated aspirin,27
Lantus ,27
metformin hydrochloride,26
Accupril,26
Zestoretic,26
Hyzaar,25
DYAZIDE,25
niacin,25
Vytorin,25
Monopril,25
Trandate,25
Lovastatin,24
beta blocker,24
ECASA ,24
NIFEDIPINE,24
DILTIAZEM,24
Zestril (LISINOPRIL),24
CAPTOPRIL,24
Niacin,22
 Lipitor,22
 Lisinopril,22
COZAAR,22
Januvia,22
"ASA,",21
Tenormin,21
insulin ,21
isosorbide dinitrate,21
Glipizide ,21
nitroglycerin ,21
glyburide ,21
SL TNG,21
TOPROL XL,21
Asa (ACETYLSALICYLIC Acid),21
Nitropatch,21
Imdur ,20
 Insulin,20
humalog,20
Statin,20
Atorvastatin ,19
imdur,19
labetolol,19
Nitro,19
 Lisinopril ,19
ARB,19
GLYBURIDE ,19
Valsartan,19
Ecotrin ,19
Lantus insulin,19
Diabeta,18
nph,18
pioglitazone,18
"lisinopril,",18
 HCTZ,18
VASOTEC,18
Glucophage ,18
dyazide,18
Nitrostat,18
simvastatin ,18
Norvasc (AMLODIPINE),18
nitrates,18
PROCARDIA,18
GLUCOTROL,18
ACTOS,18
TRICOR,18
Zocor (SIMVASTATIN),18
Insulin 70/30 Human,18
Zebeta,18
RISS,17
ACE,17
NPH ,17
Hctz ,17
lopid,17
ezetimibe,16
PROPRANOLOL,16
Procardia XL,16
nitroglycerins,16
 insulin ,16
 Plavix,16
 ASA,16
ACETYLSALICYLIC ACID,16
Nitroglycerine,16
Toprol xl,16
Glucophage (METFORMIN),16
Insulin Lispro,16
Lispro,16
TOPROL,15
"Plavix,",15
diovan,15
Calan,15
Insulin NPH,15
Toprol Xl ,15
 Lipitor ,15
 atenolol ,15
avapro,15
INSULIN ,15
Clopidogrel ,15
Captopril ,15
 Atenolol,15
Verapamil ,15
toprol XL,15
TriCor,15
NPH Insulin,15
Isordil ,15
ECOTRIN,15
ISORDIL,15
Humulin NPH,15
Glucotrol XL,15
Metoprolol TARTRATE,15
Hctz (HYDROCHLOROTHIAZIDE),15
Pravastatin ,15
Procardia ,15
 aspirin ,15
Insulin Regular,15
EcASA,15
actos,15
Humulin N,15
Plavix (CLOPIDOGREL),15
Lantus (INSULIN GLARGINE),15
metolazone,15
nitropatch,14
sublingual nitroglycerin,14
SL NTG,14
crestor,14
 Imdur,14
Humulin 70/30,13
mevacor,13
 lipitor,13
verapamil ,13
 atenolol,13
Fenofibrate,13
cozaar ,13
Isosorbide Dinitrate,13
 LISINOPRIL,13
Propranolol,12
"aspirin,",12
regular,12
irbesartan,12
INSULIN NPH HUMAN,12
lopressor ,12
Acetylsalicylic Acid ,12
CCB,12
"metformin,",12
Ecasa ,12
Nitroquick,12
Pravachol ,12
LANTUS,12
Zetia ,12
HYZAAR,12
"Lisinopril,",12
NPH HUMULIN INSULIN,12
Diovan ,12
Plavix (CLOPIDOGREL) ,12
Nitroglycerin 1/150,12
Valsartan HCTZ,12
ASPIRIN ,12
statin ,12
Metoprolol Succinate Extended Release,12
coreg,12
IMDUR,12
toprol xl,12
Acetylsalicylic Acid (Aspirin),12
fosinopril ,12
Metoprolol Tartrate,12
Insulin Regular Human,12
 Zocor ,12
Lipitor (ATORVASTATIN) ,12
lispro,12
Novolin,12
Enalapril ,12
hctz ,12
SOTALOL,12
baby aspirin,11
Regular,11
EC ASA,11
enteric-coated aspirin,10
Glucotrol ,10
 Metformin,10
Mavik,10
"atenolol,",10
 Lopressor ,10
Nitroglycerin ,10
beta-blocker,10
Nifedipine ,10
chlorpropamide,10
 simvastatin,10
ACEI,10
regular insulin ,10
